Marketcap Rank,crypto_name,Yearly_Return_USD,Yearly_TradedVolume,Avg_market_cap,Yearly_Return(%),YearlyLogReturn,trade_date,volume,price_usd,price_btc,market_cap,market_cap_1day_change(%),BTC_price_change_1_day,crypto_type,ticker,max_supply,minable,platform_name,industry_name,Yesterday_Price,DailyLogReturn,Daily Return USD,Day Mean Price,TradedVolume,DailyReturns(%)
8,Binance Coin,7.944,6108189622,2877939953.13445,39.19,0.33068,2019-11-02,273890078,20.27,2.173791813588e-03,3152261627,1.2261500,0,Coin,BNB,168137036,No,EOS,Exchange,20.02,0.01241,0.24999975,20.145,13595933,1.249
8,Binance Coin,7.944,6108189622,2877939953.13445,39.19,0.33068,2019-11-03,257571666,20.21,2.188330707553e-03,3142781986,-0.3007300,0,Coin,BNB,168137036,No,EOS,Exchange,20.27,-0.00296,-0.0599992,20.24,12725873,-0.296
8,Binance Coin,7.944,6108189622,2877939953.13445,39.19,0.33068,2019-11-04,296502530,20.74,2.2034271047032e-03,3225517472,2.6325600,0,Coin,BNB,168137036,No,EOS,Exchange,20.21,0.02589,0.529999166,20.475,14481198,2.622
8,Binance Coin,7.944,6108189622,2877939953.13445,39.19,0.33068,2019-11-05,263685442,20.72,2.2178146604828e-03,3223447634,-0.0641700,0,Coin,BNB,168137036,No,EOS,Exchange,20.74,-0.00096,-0.019999582,20.73,12719992,-0.096
8,Binance Coin,7.944,6108189622,2877939953.13445,39.19,0.33068,2019-11-06,241489968,20.82,2.2241498662519e-03,3237951225,0.4499400,0,Coin,BNB,168137036,No,EOS,Exchange,20.72,0.00481,0.100000936,20.77,11626864,0.483
8,Binance Coin,7.944,6108189622,2877939953.13445,39.19,0.33068,2019-11-07,222003636,20.65,2.2342028872609e-03,3211356528,-0.8213400,0,Coin,BNB,168137036,No,EOS,Exchange,20.82,-0.00820,-0.169999464,20.735,10706710,-0.817
8,Binance Coin,7.944,6108189622,2877939953.13445,39.19,0.33068,2019-11-08,184596047,19.69,2.226859155965e-03,3062638047,-4.6310200,0,Coin,BNB,168137036,No,EOS,Exchange,20.65,-0.04760,-0.959999915,20.17,9152010,-4.649
8,Binance Coin,7.944,6108189622,2877939953.13445,39.19,0.33068,2019-11-09,176812608,19.74,2.238359171603e-03,3069586392,0.2268700,0,Coin,BNB,168137036,No,EOS,Exchange,19.69,0.00254,0.050000786,19.715,8968431,0.254
8,Binance Coin,7.944,6108189622,2877939953.13445,39.19,0.33068,2019-11-10,239714468,20.48,2.262383456321e-03,3185665329,3.7815800,0,Coin,BNB,168137036,No,EOS,Exchange,19.74,0.03680,0.739999302,20.11,11920163,3.749
8,Binance Coin,7.944,6108189622,2877939953.13445,39.19,0.33068,2019-11-11,209454454,20.13,2.2965190566589e-03,3131442373,-1.7020900,0,Coin,BNB,168137036,No,EOS,Exchange,20.48,-0.01724,-0.349999104,20.305,10315413,-1.709
